AT,AH,TEY,CO,NOX,AP,Best_Cluster
0.19266426346155657,0.8266811086711376,0.2075616298377827,1.0,0.43773958204525787,0.6504237288135613,0
0.17539083456474067,0.8643391299186896,0.1170008941116365,0.8954038239096413,0.43773958204525787,0.6504237288135613,0
0.1690388905098497,0.7280105644251884,0.33031038446800354,0.4131795604545145,0.43773958204525787,0.6949152542372906,0
0.1704118704528128,0.7073416819989315,0.4111636224294293,0.33896373409539365,0.43773958204525787,0.6843220338983076,0
0.17696029064350052,0.7042257700753753,0.4286626644526761,0.2005171123358509,0.9669222208482748,0.6822033898305104,0
0.18981006522537108,0.6994628761350823,0.4286626644526761,0.1491290739606722,0.9396768476155144,0.6843220338983076,0
0.1955066966596704,0.69297881179892,0.40247796653467893,0.1783357147717221,0.9804418614236841,0.6906779661016964,0
0.1886453264562764,0.6567897204581874,0.42355345510282305,0.43044498877321896,0.43773958204525787,0.7033898305084766,0
0.1841887300347304,0.646967179061072,0.451654106527015,0.4142512077294686,0.43773958204525787,0.7161016949152568,0
0.18628055380387212,0.6405573031040419,0.4450121343722062,0.40520174185207863,0.43773958204525787,0.7288135593220345,0
0.19141716942596027,0.6247551783488634,0.4465448971771617,0.4007620602844118,0.9999381723754173,0.7436440677966119,0
0.18858179525068944,0.5824974775951095,0.4367096691786947,0.42282438592910115,0.43773958204525787,0.7563559322033895,0
0.17428727399361865,0.539438542346727,0.43964746455486026,0.3354596176090358,0.43773958204525787,0.7605932203389837,0
0.16372391691059512,0.5211436880527034,0.4317281900625878,0.23091447234129409,0.43773958204525787,0.7627118644067832,0
0.15808163995218688,0.5174491067719154,0.4513986460595225,0.16685377968292847,0.9996702526688923,0.7711864406779668,0
0.15681219234425442,0.5227906700694405,0.4400306552560991,0.20822276655099675,0.9948270887432504,0.7733050847457663,0
0.15805575686842924,0.5081755593803787,0.20309107165666118,1.0,0.43773958204525787,0.7775423728813557,0
0.14810411117490377,0.33910024333788363,0.1428024013283946,0.5928250663400694,0.43773958204525787,0.775423728813561,-1
0.14162329289297582,0.3369339426672207,0.19721548090433005,1.0,0.43773958204525787,0.7902542372881383,0
0.147098271010005,0.3788800522286189,0.6134883126836124,0.4522521603048241,0.8252339145130043,0.792372881355933,-1
0.1628189501821228,0.3970413674402043,0.8789117384084812,0.3018473157787303,0.48959234986191835,0.7902542372881383,0
0.1937537059869926,0.36693572318831985,0.8444245752969726,0.2338572497788664,0.49119986810106764,0.7817796610169498,0
0.22120859883102584,0.32761588224820465,0.8617958870864737,0.17321562223583042,0.47059065990684634,0.7690677966101721,0
0.23255715455495213,0.3320523473203158,0.8413590496870607,0.17136150234741782,0.5064506821647912,0.7605932203389837,0
0.23895968827355127,0.3019318653926049,0.8427640822582705,0.19463155746070626,0.5081612464449117,0.7584745762711891,0
0.2389267461669506,0.32510831503353316,0.8486396730106016,0.18796352997210314,0.498330654136268,0.7563559322033895,0
